run_id,source_file,experiment_label,problem_id,base_function,seed,fe_used,budget_match_status,historical_final_error,paper_reported_mean,paper_reported_std,better_than_paper_reported,offline_error_delta_vs_paper,runtime_dispatch_allowed,comparison_role
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-2\E2\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E2,elliptic,2,3000000,near_paper_3m_fe,8.660162e+06,6.87E6,4.73E4,0,1.790162e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-2\E3\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E3,elliptic,2,3000000,near_paper_3m_fe,7.254322e+06,1.60E7,5.62E5,1,-8.745678e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\A1\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A1,ackley,3,3001000,near_paper_3m_fe,7.839680e+04,7.76E4,1.25E1,0,7.968013e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\A2\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A2,ackley,3,3001000,near_paper_3m_fe,7.847626e+04,7.81E4,9.78E0,0,3.762638e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\A3\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A3,ackley,3,3001000,near_paper_3m_fe,7.883103e+04,7.86E4,2.09E1,0,2.310289e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\A4\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A4,ackley,3,3001000,near_paper_3m_fe,7.857143e+04,7.83E4,1.14E1,0,2.714327e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\A5\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A5,ackley,3,3001000,near_paper_3m_fe,7.872368e+04,7.85E4,2.35E1,0,2.236780e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\A6\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A6,ackley,3,3001000,near_paper_3m_fe,7.864126e+04,7.80E4,7.06E0,0,6.412634e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\E1\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E1,elliptic,3,3000000,near_paper_3m_fe,5.769810e+05,2.84E6,2.35E5,1,-2.263019e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-3\E2\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E2,elliptic,3,3000000,near_paper_3m_fe,2.206362e+06,6.87E6,4.73E4,1,-4.663638e+06,0,offline_historical_hcc_main_vs_paper_reported
