case_id,run_seed,selected_action,phase1_fes,terminal_fes,final_error,elapsed_seconds,checkpoint_hash,action_result_hash,receipt_hash
R6,20260745,aor,180000,3000000,401276.95171133976,1136.690228,647792a146a31cca0867f22463ba98fa6f4c8dd0f13445d57b7fbba0b8883678,54922733f43d3c556bb0f74120e9b23e658f02849045bb06ef7379caadb063b6,13b5f2ea55cfcca7f11539d958e12c537c42ce83f4c5477276b1909d2a4be801
S1,20260745,smp,180000,3000000,623.4465496581445,1645.471919,9dd602582188e342ff32f5776b510d34228f9c2a02ec2f5407e0d39d69153a4f,ec8993a911a30d177c8fb935ff7e4c002d925bdeedcc22152575fe7fe6cea761,f87bac4395b7bd4520192a4056e8dee59a2852d7fb58b80801e55e2fb32eed8d
S2,20260745,smp,180000,3000000,7693.595474018516,1944.312637,fd259a1a8919878de155b64546ada5f854d9591e85ab485cf75202c50f419bbd,010c486f810b4f4e46942126ebd4df56fbc718da95e13e264cab8eece815b644,ddf2cb27f65aaa9284f1f630fd6958407638539501964b074976534f17ae6451
S3,20260745,smp,180000,3000000,8351.537663637673,1891.560234,e40b04f2bbc39f5e11968676c061674006e1ee8563382c437f5f82374e37034a,d65c89123f44654831789ab664ab01ee4b2b53340194fef5fb79fae7ccad81ea,e93c232a6b9f1943724353bf6dd5f4e620b1875146817a8675d90453ca41d607
S4,20260745,smp,180000,3000000,6523.299562899936,1968.348024,08c3d0c866b84a82d7a21c7a962142ce2dafe625098a2396b426c7580dd82a58,70b13bc42f5e1344c502104cfa9a509dab74732d5864bf79f6fb4ca8d65b404e,0ae1784f99c37410aa9620e0825b666b069bf2a82b7d836c8df3b5dd5b991376
S5,20260745,smp,180000,3000000,14758.772322459432,1995.249204,47d94d98eca7e64c8c493998f0e3b33c3c981ac136ad66ab477e67ffd509b8e6,384ffae1701302237f4c701e8582977a51f7e6008622c6af67aee37e20d76216,963a2d52e82102998d9ab587b1a4101ecc194f94fc05cee5ac1cf6cc1cc769ce
S6,20260745,gcb,180000,3000000,68622.2823538358,1226.384466,f46c464c4504a4b5bde05d6313e67ad05893137f1059b282fb6ced4fcb6834a2,8150e5d29685faee98e2d63e98c14dcfca11c33b2a5c2e0a73bb1f9174bdc953,890b3ab5de737ee55b6f7f94b5e4c6ed3039f429fa8d370df67c0d944715b827
A1,20260746,gcb,180000,3000000,78122.87495482406,1000.221308,656a2e39dd0c408a2adca3688ea59e73f2a688b59578f670736ebbc6c463f1b8,3a8675f93a0ff53d02ecf419733b163f6637d4a9fba8eb3dd0c6a54af59c199c,ba6d24998cb7e8051bf82e8206c9fc2e26f0ce1f2707079c3ea76167d14417dc
A2,20260746,aor,180000,3000000,78092.20182906008,1015.392659,f7f73b2ea6f0e5bdb72e83a24c2bc8e38ea8c1169c03f9e9d348df67e5c29a18,0c97aad55a28507a1bdaac35add4475f02a6e94501e588f147c20ec96005f9ae,8f89974d4a9de63155b4079312a6503b39b29091faeb8cc734365f77604afa14
A3,20260746,gcb,180000,3000000,77966.67372637878,1207.327758,d9a7a1430faed24277d0a51523d6ae48b45122d0b76b7959426759fd91601bee,0cfccd8e7431c654ce0aab5f1f6cf599d4f59b901786ed34bcdef13a88d6a356,463c55251e91c5abeeb3fec15ce31d49de8d5a291f4206940301d81b5f518760
A4,20260746,aor,180000,3000000,78129.11376348097,1060.399552,5f1c98d1f5f9b0c3727da334277cae5f798ae6608219437be840324be94450f8,6a7865f4d431a2f7cbd2eb9871c595ab771c968be49b84a04c296fb67b650238,5d7435b021a766642a54ff1dca1b4d0fbff729eb339b123b499c11daed3c7152
A5,20260746,aor,180000,3000000,78384.06415919584,1085.899039,13c96391cd95056ce0ce952288507bb5c37f5a0d8a356dae9bf76d7432ad2e04,0fe0851d0772a57d5303b279919f2455a1da71126e22a4d4cd90d8a4fb2b8d8d,968e558ea35ab7f77446de04088e7fdc490ba4a0ca8250ad6f82b108a5d79ef6
A6,20260746,aor,180000,3000000,78188.1837389642,1105.226797,aee4fe6a1426d7682a5192265dbaa9acc5630667f6cb6cb00fcfb85c4223ba74,45bc58b1bf4d58f4a4febcd696df7c02b5e9d4e0cb2e554ce50c9db198929640,fdf9dc678354c1a44a8b262e810fe6d110f88771b6989601352027bebb283209
E1,20260746,smp,180000,3000000,421293.0119918233,1697.034648,451a8950e6e7f87e0ac85a853efeb4dbac8ec87e2999a2a32655532e9dce10c3,9a4534f44e04bdfb8bc37a6c90aa4d333dc7bf8fe94ea8fcf14f21c6e2cd9a22,05c329c6a728d0108b30123739556ad444e0422a28348e6eb779b50e7096fc74
E2,20260746,ctp,180000,3000000,10762905.310806328,964.09851,7811c61e63c4d18c88896b4772d4d2eabd949b46a32d3248f2ef92ecbd617d57,9c3638a28c27e252668b0b48c6b8cde37374b44ebfd3a7ae4a254e5c310a35e9,bbfc8911f9b4860c950a981882a57e0a6ffe7cf57d4f3e124f176855d43b0124
E3,20260746,ctp,180000,3000000,13412381.036415275,977.807683,886d97c69555520941ecdfb6bba60906065bb65532c94a1f72f9dbc0101ee0db,43d5f11d595006dec78bffce6bf8f255dd38c73803974e96c97269dd8e121068,c2da8e2b49a7ef5e9396b6450f6842042eae4ff514c46f7b9b6b939e9178839d
E4,20260746,ctp,180000,3000000,11539712.366936496,1000.135577,bdec648bf1704f9332e2563bf2ac69fb440a94d0cfdd29d19a2635565681cd5f,d3a1d06562baaf773ad2cbf49ba9f650fd7b17ed8132fc69cfa7c34aa1fa9610,cf038bf637ce00afa8979c79aaf3d8e5353997e6e742266491bcf1aacc1072da
E5,20260746,ctp,180000,3000000,15124929.278430456,1015.5424,299acda251b283139010a3f0bcd42da73ddd7d54e694fad5f2be3ac659e14599,d5ba3ea77ae528c947b00ac4b02ecd197aa29d419ff25f59151e1c42333663e2,29b0d790249b71ec9c56f6b1a9a674fc0e1285fd36f6d75b0021bb09b5ee8916
E6,20260746,ctp,180000,3000000,15161294.979960516,1043.193269,19a261ed3af21e20a3196b9fb62ea95bea7d1ca02e75ce741c5d6e46e5d521be,1e3ea922ddb94a68921976ac45d496d795fc4b086d64b8c7edfc600d9790ebe8,b592aacb5186477ea0a69e188b111a83e167fd13d34e4082c8ec687e373edc4f
R1,20260746,gcb,180000,3000000,213532.23310091594,922.575115,527590faa618c80c1ae9be8d1e50d6899f163393d00878dd1c61484ebe4a10a6,6ce32bf57e09e43c3d2895bd8f780773e8db854b7293e2b2349ab8ceee2dd517,b52315906baba0b798b84a25f75e4632878431297899946ca18420bdb6c2915c
R2,20260746,gcb,180000,3000000,303934.0399639382,1071.43277,9f03d8702baf58bd8e46442265398b797cb769cd41339da4892cf6682c4ba444,95b03a6a460a0598a3e7d580e4ec42d04c4cfedc52131d4f320d3fef95028ebb,96d02ebcfa259d665f8a1327ac241f376db9b4692b69435afdb6423df43c82f6
R3,20260746,gcb,180000,3000000,315463.4736738055,1105.662294,c064edc55df6e3b83ccdba7c8f9d602466f96c0aa5eb947c816c6c5028be98b9,fddf6a6ca86fb41f2041c9df74389ff38d8a22c86b35351717fb164e467573dc,3858eeb40e892fdb547c408ac791f05fe1a8396ebbef305b3ae1ccaeedeb15cf
R4,20260746,aor,180000,3000000,314521.14441066823,974.13996,6dd23b52963fcd84f450db1eb7c989c37fb2d86d95f9805a34341d4eb847ec86,52695d59f1528ebe0a471a09bd400e68f2214fc3eac3de296221eeedf52f59ce,1f270d813c48d4376cdd88d725c0cb12b1bee814aecc1fccaf6267634b7a1005
R5,20260746,aor,180000,3000000,384678.5346677987,991.519488,28cf5c68c3b132342f875b85ce478e680d68c6f0daad63d81807f0b12821796e,42a102017f8df6d26bb980f9617144c0c21d82edfb75382ff847f9ce98e9b733,a2e277bf14ee02f14770b696115139bcb536ff5ea4651fd8d7d14f49a8735158
R6,20260746,gcb,180000,3000000,381938.29139890533,1180.351303,636ec02b3645199c767413d9cd31683880daaa01acaf3efc4ee4de6253d10ce0,277ce22ed46ca5a1e6de594f392befde9dcc044495500f7b26c0311e23f343bd,ed9b544298885d23075e3ec378e91f2e6f079452ec13f43b5337d772ef560c3c
S1,20260746,smp,180000,3000000,968.9017095911555,1659.352104,03e216e4f065703830adbd1362c95c39f66f6dfdea326095bac2a79099ced651,c63ba0e74fe2860a3472842c5a8682a63764e2b3c2cd4b08414c93af16f85dbc,b2e93111063b348d0c7d24a51d23e466b8a53882c822a49d9964e3878ce2db7b
S2,20260746,smp,180000,3000000,6169.415915189216,2300.073461,89f54d03f8e7243f21926e039b639fd9393123711a6fcc1c198c4f40ec554c9e,aaadc2ddc3330960f4bc00d1aa3a7a6db508e88d7952f6eef06c68a56943106c,b9ba6f20f4d7bd7b57f4791b75592cd2e090140b22a17e68ddbf4dc87084b674
S3,20260746,smp,180000,3000000,20862.79685739457,2103.608266,6bfbe798dac0f3b045aa8523289844e11e28c8e27eb74b8aa28fefdc405d6a28,f5ee6a2196ef07c4338f6dd8993c6cc269e2605ef72a220474aa58e8a1194c61,04de72ce00dc8bb625099d3cf0046b5c4379894cccdd8826fa9c76c40e2d80a3
S4,20260746,smp,180000,3000000,12996.796320124022,2359.672743,38abd80973a44a668b57e7cda999182fc191658e0e37b98f898af4b4569236f0,369f2d4cc2a905674b54dac3d36786349349508a99dd483eb05d56f686c0dafd,7099f9e8f62235c0d30508c5ce7f54e2f103ccf2de709a838daafd32001601d1
