case_id,run_seed,action_name,phase1_fes,terminal_fes,final_error,checkpoint_hash,action_result_hash,receipt_hash
S1,117,ctp,180000,3000000,5.168148355100764e-07,7e7e9fe47728a789c6829c8f3c1940865c6f846c787bdcf094692be1905a8270,7febadc47cac60713dfc652b6bb4179ef384d60adc1a4469c5bc3d599e9e5e6d,16f84757d47adc0228e74aabc64598bf6e01a24fb07c9b453a1bc3df350245e0
S2,117,ctp,180000,3000000,203.66281875439554,3fd6bb3d48a015e2502d6cbaf7da0be1f33a573f7036911e2a03745b1d4e373f,566d5d19a1d26a544b3f35a58313ee18dc5a9cf7d496364d5aaf4d5f8b317f5d,f8828ac223de6ff1cb8a352fea6c0f3891e45856cc50eb0d0bab803906541c63
S3,117,ctp,180000,3000000,68.63672369597613,704d2709df1ecd2ea836ab48b4233e066eaae16ed2717065455736818aba08cc,3a75c6d717451f3b6d877898c70f20f80327ecb2e60b0146a9abd2ea2b7fed0d,8c60210050130db4f44c19a599d9c76de089b2000900192387c6d1b1702a7ffc
S4,117,ctp,180000,3000000,7337.065902046248,59cf961783b4eb38c7edb26b8814d318b6948cd1fa8407a7e7ec00b11d885cd0,57311551b010051f8d5ff7884eb25e1acefc4a31683183929325b06a374f7b8e,c0d31a9252e6656d4e304ab08cd361b16e7b397bc2f6529df9116a6451222d1b
S5,117,ctp,180000,3000000,4079.4455651832886,da98958a8d23a79e333a8702950c124efb9230ffec4d2a900369ca79cdbc9c6d,1ab5edeca7d8ead1321f6fdbe633345ebf29f82665c1bf6fddd0a77ee66b5a51,102d45181952f9951cc525018652df9fc16424a29a7d64fda3140be99236a8d9
S6,117,ctp,180000,3000000,8447.533916367323,4c1c0a1377a2d1dc17cd5b313fba8a32dff0083464f6a8053326b5252bda419f,8b26bae76a458d3bfeb6b8fdd2a9d8c29a95e12267c2c7ae3a228ed7a2eecb84,19f6e8e52a1bd34f948d390114389eefbcf6b4ee0cb958f21473163c45d7d5d7
A1,118,aor,180000,3000000,78202.80645470285,474ed2e407f0c727f26c7a0f9d9d4289194ed5ccaca4524097b03e8eba367155,eddf717c9bef3e019ae8fd659179b26a64656bb2d04d0b9aaa0b9ac751c45c14,b50f4e16608137df90c0d33c8e2b30fe13587d2e2b94f1f366c6346f1870cee4
A2,118,aor,180000,3000000,77942.35735021943,3824786f98dd0d74409dca505f88503f34d0dbfbae53e07c42e14ed6205ce58c,6a21023ed438fe1ffe8a66f63bf6b0deccb6a14e591356d5877ea67ea9ee935a,941c6f39e311ccfd34c709b2d7d6d2f274685b7667524620deb268d713569050
A3,118,aor,180000,3000000,78109.2221320033,7d1591029a90f426a6ab7ff00fe920059f3af4d3081606a0cdc7d0c000629026,f7603d5c86abc44f3214067ab60f4601936dfd40f26f6bc85eac1639cf423bca,614b80b8faa1054ff1a6ff722f6eb43704dd20c85ef94202910d6c9a941abe98
A4,118,aor,180000,3000000,78171.65471617771,01e1d75b0b63d8f94dfadbee6f356c223f45134c75a9f5803453e050d3d238cc,6a24929c65b95c4817112a6e3beddd060a71e346e387749ec9871bf948c7e0b5,36477f776150eb087dd0eaeb80ad8b40b190d8b9aeddc1cd677532b1a53b7924
A5,118,aor,180000,3000000,78503.67606406008,50bf117251a1a457b5fda6335e9b2b6e680c4a9866e5f339dbe92b02dcdb478d,66ba2e5cbc37c24934376e9a5e6fad9cde6e9009c274e6f0704dfa90d99c90a7,89ebab4eacb889262a0a10421a3316c013d446953b3f309874b9060a222a2773
A6,118,aor,180000,3000000,78001.71569467684,f782f30a6d00910bb46d7b737a31625645bbddeaf933766b46a608c8a253d151,5e695e61d2e3f9c1b8fcebb2cfc772a78937fff6da86ae796308f2a87d24845b,aa65299b6cb05287cbaa314ec0d2376ec65a92c186d1a94f7336d06a019dbe74
E1,118,smp,180000,3000000,993890.496637762,e139c8026ba6527e8322da5f4eff94e5e1eac9e29b9c74b3a8ca46bcc2eee8dc,804b5f460d1d4d2da89ff3f4920e063afc6189c7e90e23cc6702a4fc90f9a85c,c036fa6f9d8d45b6885d3cfb73ac3ed40d69642720fdceddd4b65bbcd0872d7c
E2,118,smp,180000,3000000,3676265.2413187185,ea209fd3229f42c1641f9c7467d220ef66f8bc6ba192d8ac9638d887ea326dca,3e893f38e6e1bf5b780df159c5dc923a6cfdb634405a2061abd0420bb080525d,ed42020156921ced04bb3c490439fb7fc8c076bac9ed135408f79d3a5b526bd0
E3,118,smp,180000,3000000,8015555.9056819435,193edb3bbfa7fd4f2a6e7c2ac17fbe78d8e0d3aeb45dad0a493eb0127d33e636,534a7e116f81c726312406e2fb03825fd1a50f47807d16df617bbf3c65e36d89,c5b12dcf7a47272b3e9250a4585d00c58778b3adf7cfc64dcbeaa4ec7bbcc945
E4,118,smp,180000,3000000,10209200.107232612,20a4d4877ae919798e8beef25d54b3fe565d6147809d406f8bf9987bee31211a,04007993e2865010640b29e0ad45ba67022f6e16823ee7e194d4c3c827b49590,5b885e1a3477721a47217b8e1be0212df409440e8617f1873075ffb35aa78852
E5,118,smp,180000,3000000,9432880.363939678,ac3c029a1d80c64cc54b95f5e3a270106494f7196b1ca76f78f4e2171019dc0f,883b0ea514b8f451c3eee6b50b3de3423ea9466d388c4e365119435529582329,a421a97cf803039147f7d3d05d5addac480d194ef593b6e2730bf66bdce61753
E6,118,smp,180000,3000000,20076262.78446279,f89810bdb1c886b01e5e1161bb83e96356e62a0f75e2b54ed9e5ee9d7bc001b2,0cbd50aee7c139b04867eaaeb9b3d302ed08e6e2ad48b397d7fc76745a7b3e01,f8fe6a231aac6802ef85955eb920cfe8845e72ba1a5dfccd281ad61e392d8130
R1,118,gcb,180000,3000000,190772.68932561946,64368e0d70991f797945363be596d31164c18c616ad072269911d4f3f44faf5e,92668a87330116e8b49a4600d0b7199ebf2b47f16f0fd2f5f5c2d38f4932750c,6af2c5dc0b9146e86b9d7dc3f92c4c5eddfc53f27f404f39d54fe9c10300a989
R2,118,gcb,180000,3000000,210804.76952517155,5e1e1777b1a2716c2c26c139126fdfac4b81517312e83353d549b9e994e146bc,6177cba7d854f33176c8d30690ee8ea0e669651d844af1ff495c22497b355ae4,f4632762272c0d4318449e61bea5e97ac4b56b2ab2ff65f9b538e0a33cad2bcb
R3,118,gcb,180000,3000000,272585.02703814505,9256e31b5b68f26a86e0e854a34d53893fb6199d42f780f0c73de82fddf58e9f,7a1caf560061042c31b7e61ead6323ab429a626b4a093b673f6dc793162b86e5,657d638254146b731d7f00317999abce8ca342eff4690ad13faf450cd2491c54
R4,118,gcb,180000,3000000,272288.4454325888,ec21ece1f8dd5c8a74eef61cbdabb9e1c0a29f0a304086b53a7bdd277e907d43,d4fdc0f993bfb904447549359a9194fb1d090a7f6dbab33c6d587340dbf095b5,e075091766717e1a1e299bcedc6929606de7bd1668a038ff9b028decd573b1a0
R5,118,gcb,180000,3000000,380026.3752796175,7a2e136c48c1319a4a1395b8c0e38f9a86e9c92ce4e60acbb55981cfe9a67ca5,10e40d54848126f92824d79fdc31e3314e188b666d644ba678b20b6fb614bfb4,216a97bf811103cf89cc45b679c8f32454493ca52a3cef7a374310ce0c6f6d86
R6,118,gcb,180000,3000000,452336.1719892639,ee6d5594c9255d1888ac32e840a09bb61a27e472edfb95b1efddda435600efa1,f35ff0dfe0d872bf968da2a0acf5fd09dda63780dc979afc97a3949919e88276,e8cf81ac356a03924429847ee2c78d6b04a6c14a262cd2de0503d15ba308b55a
