case,DG2-CMAES Mean +/- Std,Random-CMAES Mean +/- Std,RDG3-CMAES Mean +/- Std,RDDSM-CMAES Mean +/- Std,Sep-CMAES Mean +/- Std,LM-MA-ES Mean +/- Std,LMCMA Mean +/- Std,MM-ES Mean +/- Std,HCC-ES Mean +/- Std,ARAC Mean +/- Std,best_method
R4,4.61E+07 (+) +/- 2.33E+06,1.39E+09 (+) +/- 2.25E+08,2.60E+06 (+) +/- 2.83E+05,7.93E+05 (+) +/- 1.37E+04,3.20E+05 (+) +/- 3.37E+01,8.97E+05 (+) +/- 4.23E+01,2.36E+06 (+) +/- 3.53E+02,1.48E+06 (+) +/- 2.68E+02,5.59E+05 (+) +/- 6.77E+03,3.15E+05 +/- 3.25E+04,ARAC
R5,5.25E+07 (+) +/- 4.11E+06,6.84E+08 (+) +/- 1.56E+08,2.05E+06 (+) +/- 3.21E+05,1.25E+06 (+) +/- 8.98E+04,2.48E+05 (-) +/- 1.92E+01,9.50E+05 (+) +/- 2.19E+01,4.05E+06 (+) +/- 2.84E+02,1.52E+06 (+) +/- 3.55E+02,6.84E+05 (+) +/- 5.76E+03,3.34E+05 +/- 4.10E+04,Sep-CMAES
R6,5.86E+07 (+) +/- 3.50E+06,1.41E+09 (+) +/- 4.26E+08,3.85E+06 (+) +/- 2.57E+05,1.30E+06 (+) +/- 3.47E+05,2.66E+05 (-) +/- 4.35E+01,9.57E+05 (+) +/- 3.53E+01,3.03E+06 (+) +/- 3.37E+02,1.68E+06 (+) +/- 1.16E+02,8.15E+05 (+) +/- 2.30E+04,3.61E+05 +/- 4.19E+04,Sep-CMAES
A1,7.76E+04 (-) +/- 1.03E+02,7.93E+04 (+) +/- 1.13E+02,7.76E+04 (-) +/- 9.04E+02,7.76E+04 (-) +/- 1.07E+01,7.81E+04 (+) +/- 1.76E+00,7.84E+04 (+) +/- 7.31E+00,7.94E+04 (+) +/- 1.79E+02,7.94E+04 (+) +/- 2.78E+02,7.76E+04 (-) +/- 1.25E+01,7.80E+04 +/- 9.33E+01,DG2-CMAES;HCC-ES;RDDSM-CMAES;RDG3-CMAES
A2,8.09E+04 (+) +/- 7.90E+02,7.97E+04 (+) +/- 1.25E+02,8.07E+04 (+) +/- 8.93E+02,7.82E+04 (+) +/- 2.33E+01,7.81E+04 (+) +/- 2.44E+00,7.86E+04 (+) +/- 1.34E+02,7.86E+04 (+) +/- 2.55E+01,7.83E+04 (+) +/- 9.32E+00,7.81E+04 (+) +/- 9.78E+00,7.80E+04 +/- 9.27E+01,ARAC
A3,8.10E+04 (+) +/- 8.23E+02,7.98E+04 (+) +/- 1.88E+02,8.12E+04 (+) +/- 9.83E+02,7.81E+04 (≈) +/- 3.01E+01,7.80E+04 (-) +/- 3.89E+00,7.84E+04 (+) +/- 8.78E+01,7.92E+04 (+) +/- 1.03E+02,7.85E+04 (+) +/- 1.53E+01,7.86E+04 (+) +/- 2.09E+01,7.81E+04 +/- 9.28E+01,Sep-CMAES
A4,8.12E+04 (+) +/- 1.22E+03,7.96E+04 (+) +/- 1.79E+02,7.90E+04 (+) +/- 3.13E+00,7.83E+04 (+) +/- 1.04E+01,7.84E+04 (+) +/- 4.27E+01,7.85E+04 (+) +/- 6.90E+01,7.87E+04 (+) +/- 2.63E+01,7.89E+04 (+) +/- 2.54E+02,7.83E+04 (+) +/- 1.14E+01,7.82E+04 +/- 1.07E+02,ARAC
A5,8.14E+04 (+) +/- 1.39E+03,8.00E+04 (+) +/- 1.93E+02,7.99E+04 (+) +/- 3.04E+01,7.85E+04 (+) +/- 3.15E+01,7.82E+04 (-) +/- 3.42E+00,7.84E+04 (≈) +/- 5.43E+01,8.06E+04 (+) +/- 4.59E+02,7.87E+04 (+) +/- 3.17E+01,7.85E+04 (+) +/- 2.35E+01,7.84E+04 +/- 6.63E+01,Sep-CMAES
A6,8.13E+04 (+) +/- 1.12E+03,7.96E+04 (+) +/- 1.57E+02,7.91E+04 (+) +/- 2.11E+00,7.82E+04 (+) +/- 5.23E+00,7.80E+04 (≈) +/- 7.25E+00,7.84E+04 (+) +/- 3.28E+01,7.99E+04 (+) +/- 6.97E+02,7.89E+04 (+) +/- 4.79E+01,7.80E+04 (≈) +/- 7.06E+00,7.80E+04 +/- 7.73E+01,HCC-ES;Sep-CMAES
ALL (+/≈/-) vs. ARAC,22/0/2,24/0/0,22/0/2,21/1/2,19/1/4,23/1/0,24/0/0,21/0/3,18/1/5,NA,
