context_id,probe_action,full_action,matched_action,phase1_fes,structural_inference_complete,probe_error,full_error,matched_error,probe_vs_matched_shifted_log10,matched_vs_full_shifted_log10,probe_vs_full_shifted_log10,same_probe_matched_action,same_full_matched_action,probe_tax_fes
aob_A1_s20261211,smp,ctp,ctp,180000,1.0,77725.41095515483,78449.73187914694,78449.73187914694,-0.004028385077672613,0.0,-0.004028385077672613,False,True,131072
aob_A1_s20261212,smp,ctp,ctp,180000,1.0,77702.59322258938,78296.28921257565,78296.8395847965,-0.0033086768451462785,3.0527593080164142e-06,-0.003305624085838299,False,True,131072
aob_E1_s20261211,gcb,smp,smp,180000,1.0,50271149.81262984,18983525.411825124,18983525.411825124,0.42294193639871114,0.0,0.42294193639871114,False,True,131072
aob_R1_s20261211,ctp,smp,smp,180000,1.0,254274.73628311334,262336.0273289826,262336.0273289826,-0.013554672496205244,0.0,-0.013554672496205244,False,True,131072
aob_R1_s20261212,ctp,smp,smp,180000,1.0,365666.1015180451,392550.3981307002,392550.3981307002,-0.030810639184846254,0.0,-0.030810639184846254,False,True,131072
aob_S1_s20261211,ctp,smp,smp,180000,1.0,3178.460946328561,4.6297764629677305,4.629776462967788,2.7518623438551306,4.435906346145098e-15,2.751862343855135,False,True,131072
aob_S1_s20261212,gcb,smp,smp,180000,1.0,0.05343516305808502,3198.9642045378846,3198.964204537885,-3.482537309476387,9.64327466553287e-17,-3.4825373094763865,False,True,131072
